title,artist,genre,year
Imagine,John Lennon,Blues,1971
Billie Jean,Michael Jackson,Hip Hop,1982
Like a Rolling Stone,Bob Dylan,Rock,1965
Bohemian Rhapsody,Queen,Rock,1975
Smells Like Teen Spirit,Nirvana,Pop,1991
What's Going On,Marvin Gaye,Electronic,1971
Hey Jude,The Beatles,Electronic,1968
Sweet Child O' Mine,Guns N' Roses,Techno,1987
Thriller,Michael Jackson,Techno,1982
Hotel California,Eagles,Pop,1977
Stairway to Heaven,Led Zeppelin,RnB,1971
Respect,Aretha Franklin,Jazz,1967
Good Vibrations,The Beach Boys,Dangdut,1966
Born to Run,Bruce Springsteen,Gospel,1975
Superstition,Stevie Wonder,Metal,1972
I Will Always Love You,Whitney Houston,Hip Hop,1992
Every Breath You Take,The Police,RnB,1983
Purple Rain,Prince,RnB,1984
"No Woman, No Cry",Bob Marley,Rock,1974
One,U2,Electronic,1991
Yesterday,The Beatles,Gospel,1965
Let It Be,The Beatles,Jazz,1970
"Paint It, Black",The Rolling Stones,Gospel,1966
Wonderwall,Oasis,Metal,1995
Shake It Off,Taylor Swift,Hip Hop,2014
Rolling in the Deep,Adele,Jazz,2010
Uptown Funk,Mark Ronson ft. Bruno Mars,Pop,2014
Hallelujah,Leonard Cohen,Electronic,1984
Creep,Radiohead,Funk,1992
Lose Yourself,Eminem,Rock,2002
Back in Black,AC/DC,Funk,1980
Eye of the Tiger,Survivor,Gospel,1982
Girls Just Want to Have Fun,Cyndi Lauper,Blues,1983
Viva La Vida,Coldplay,Reggae,2008
Clocks,Coldplay,Gospel,2002
Seven Nation Army,The White Stripes,Pop,2003
Take On Me,a-ha,Reggae,1985
Gangsta's Paradise,Coolio,Rock,1995
Toxic,Britney Spears,Electronic,2003
Rehab,Amy Winehouse,Electronic,2006
Someone Like You,Adele,Gospel,2011
Happy,Pharrell Williams,Blues,2013
Bad Guy,Billie Eilish,Gospel,2019
Shape of You,Ed Sheeran,Hip Hop,2017
Blinding Lights,The Weeknd,Techno,2019
Levitating,Dua Lipa,RnB,2020
Senorita,Shawn Mendes & Camila Cabello,Metal,2019
Old Town Road,Lil Nas X,Dangdut,2019
Shallow,Lady Gaga & Bradley Cooper,Techno,2018
Despacito,Luis Fonsi ft. Daddy Yankee,Hip Hop,2017
Thinking Out Loud,Ed Sheeran,Techno,2014
All of Me,John Legend,Blues,2013
Rolling in the Deep,Adele,Hip Hop,2010
Viva La Vida,Coldplay,Electronic,2008
Umbrella,Rihanna ft. Jay-Z,Dangdut,2007
Crazy,Gnarls Barkley,Blues,2006
Hips Don't Lie,Shakira ft. Wyclef Jean,Gospel,2006
Boulevard of Broken Dreams,Green Day,Blues,2004
Hey Ya!,OutKast,Pop,2003
Complicated,Avril Lavigne,Techno,2002
In the End,Linkin Park,Gospel,2001
Oops!... I Did It Again,Britney Spears,Funk,2000
Smooth,Santana ft. Rob Thomas,Pop,1999
My Heart Will Go On,Celine Dion,RnB,1997
Wannabe,Spice Girls,Electronic,1996
Waterfalls,TLC,Reggae,1995
Ironic,Alanis Morissette,Metal,1995
Zombie,The Cranberries,Reggae,1994
Creep,Radiohead,Techno,1993
November Rain,Guns N' Roses,Hip Hop,1991
Nothing Else Matters,Metallica,Funk,1991
Under the Bridge,Red Hot Chili Peppers,Dangdut,1992
Enter Sandman,Metallica,Jazz,1991
Smells Like Teen Spirit,Nirvana,Pop,1991
Losing My Religion,R.E.M.,Metal,1991
Vogue,Madonna,Metal,1990
Ice Ice Baby,Vanilla Ice,Rock,1990
Like a Prayer,Madonna,Gospel,1989
Sweet Child O' Mine,Guns N' Roses,Electronic,1987
With or Without You,U2,Dangdut,1987
Livin' on a Prayer,Bon Jovi,Techno,1986
Take On Me,a-ha,Metal,1985
Careless Whisper,George Michael,RnB,1984
Thriller,Michael Jackson,Techno,1982
Eye of the Tiger,Survivor,RnB,1982
Don't Stop Believin',Journey,Gospel,1981
Another One Bites the Dust,Queen,Electronic,1980
Imagine,John Lennon,Techno,1971
Stairway to Heaven,Led Zeppelin,Reggae,1971
Let It Be,The Beatles,Jazz,1970
Bridge Over Troubled Water,Simon & Garfunkel,Gospel,1970
Hotel California,Eagles,Techno,1977
Go Your Own Way,Fleetwood Mac,Electronic,1977
Dancing Queen,ABBA,Gospel,1976
Bohemian Rhapsody,Queen,Metal,1975
Born to Run,Bruce Springsteen,Rock,1975
Superstition,Stevie Wonder,Electronic,1972
Lean on Me,Bill Withers,Electronic,1972
American Pie,Don McLean,Jazz,1971
Your Song,Elton John,RnB,1970
I Heard It Through the Grapevine,Marvin Gaye,Techno,1968
Sittin' On The Dock of the Bay,Otis Redding,Funk,1968
Respect,Aretha Franklin,Gospel,1967
Good Vibrations,The Beach Boys,Jazz,1966
Like a Rolling Stone,Bob Dylan,Metal,1965
My Girl,The Temptations,Reggae,1964
I Want to Hold Your Hand,The Beatles,Techno,1963
Can't Help Falling in Love,Elvis Presley,Funk,1961
Only You,The Platters,Electronic,1955
Rock Around the Clock,Bill Haley & His Comets,Dangdut,1954
Hound Dog,Elvis Presley,Rock,1956
Jailhouse Rock,Elvis Presley,Jazz,1957
Great Balls of Fire,Jerry Lee Lewis,Reggae,1957
La Bamba,Ritchie Valens,Techno,1958
Johnny B. Goode,Chuck Berry,Rock,1958
What'd I Say,Ray Charles,Reggae,1959
Take Five,Dave Brubeck,Electronic,1959
